obs_frac,test_rmse_mean,test_rmse_std,rel_error_mean,rel_error_std,experiment
0.2,0.0014918496026269535,5.806955827422865e-05,0.2811923922291182,0.015583190352914486,vary_obs_frac
0.3,0.0008163028514804582,2.1353891651523744e-05,0.14276251667760062,0.002331136537820538,vary_obs_frac
0.4,0.0005530770498559418,3.051746778983912e-05,0.09815252660247654,0.0012264304683522501,vary_obs_frac
0.6,0.00038890795542594346,8.551506239433203e-06,0.0692380837408198,0.0004605588084029286,vary_obs_frac
0.8,0.0003103052381938479,1.3704588543437974e-06,0.05585058860781258,0.00036056496498254847,vary_obs_frac
