snr,test_rmse_mean,test_rmse_std,rel_error_mean,rel_error_std,experiment
5,0.0018759404488420846,7.149189652916612e-05,0.34768459884612374,0.004086893465621319,vary_snr
10,0.0012002012842339913,5.03170293556442e-05,0.21872115894749902,0.0036316397877089977,vary_snr
20,0.00044820087839412653,2.073573264147654e-05,0.08002189798242719,0.0016913685767304184,vary_snr
30,0.0001530545732578186,7.6231091378594686e-06,0.026848352841611644,0.0005590338532080683,vary_snr
1000,4.271246128172108e-05,8.583810411771808e-06,0.0075613747883427895,0.0014209799916043173,vary_snr
