Date,Open,High,Low,Close,Adj Close,Volume,Stock Name,daily_return,price_range,date_only
2021-10-01,259.4666748046875,260.260009765625,254.52999877929688,258.40667724609375,258.40667724609375,51094200,TSLA,-0.0003352887910832436,5.730010986328125,2021-10-01
2021-10-04,265.5,268.989990234375,258.7066650390625,260.510009765625,260.510009765625,91449900,TSLA,0.008139621398127295,10.2833251953125,2021-10-04
2021-10-05,261.6000061035156,265.7699890136719,258.0666809082031,260.1966552734375,260.1966552734375,55297800,TSLA,-0.001202850103416031,7.70330810546875,2021-10-05
2021-10-06,258.73333740234375,262.2200012207031,257.739990234375,260.9166564941406,260.9166564941406,43898400,TSLA,0.0027671424905384434,4.480010986328125,2021-10-06
2021-10-07,261.82000732421875,268.3333435058594,261.1266784667969,264.53668212890625,264.53668212890625,57587400,TSLA,0.013874260399496352,7.2066650390625,2021-10-07
2021-10-08,265.4033203125,265.4599914550781,260.3033447265625,261.8299865722656,261.8299865722656,50215800,TSLA,-0.010231834522373306,5.156646728515625,2021-10-08
2021-10-11,262.54998779296875,267.0799865722656,261.8333435058594,263.9800109863281,263.9800109863281,42600900,TSLA,0.008211528565575943,5.24664306640625,2021-10-11
2021-10-12,266.9766540527344,270.7733459472656,265.5233459472656,268.5733337402344,268.5733337402344,66060000,TSLA,0.01740026730336086,5.25,2021-10-12
2021-10-13,270.15667724609375,271.8033447265625,268.59332275390625,270.3599853515625,270.3599853515625,42360300,TSLA,0.006652379022320076,3.21002197265625,2021-10-13
2021-10-14,271.8299865722656,273.4166564941406,271.1166687011719,272.7733459472656,272.7733459472656,36741600,TSLA,0.008926471099504285,2.29998779296875,2021-10-14
2021-10-15,274.5799865722656,281.07000732421875,274.1166687011719,281.010009765625,281.010009765625,56773800,TSLA,0.030195999501915205,6.953338623046875,2021-10-15
2021-10-18,283.92999267578125,291.7533264160156,283.8233337402344,290.03668212890625,290.03668212890625,72621600,TSLA,0.03212224493643445,7.92999267578125,2021-10-18
2021-10-19,292.510009765625,292.6499938964844,287.5033264160156,288.0899963378906,288.0899963378906,52143300,TSLA,-0.006711860640270406,5.14666748046875,2021-10-19
2021-10-20,288.45001220703125,289.8299865722656,285.7933349609375,288.6000061035156,288.6000061035156,42096300,TSLA,0.0017703140411262641,4.036651611328125,2021-10-20
2021-10-21,285.3333435058594,300.0,285.1666564941406,298.0,298.0,94444500,TSLA,0.03257101073349511,14.833343505859375,2021-10-21
